starttime	seconds	ctime	dtime	ttime	wait
Fri Jan 19 20:25:41 2018	1516393541	71	88	159	88
Fri Jan 19 20:26:15 2018	1516393575	62	97	159	97
Fri Jan 19 20:25:29 2018	1516393529	72	88	159	87
Fri Jan 19 20:25:56 2018	1516393556	56	103	160	101
Fri Jan 19 20:26:04 2018	1516393564	85	75	160	75
Fri Jan 19 20:26:19 2018	1516393579	56	104	160	101
Fri Jan 19 20:26:14 2018	1516393574	74	87	161	87
Fri Jan 19 20:25:59 2018	1516393559	84	77	161	77
Fri Jan 19 20:25:55 2018	1516393555	83	79	162	78
Fri Jan 19 20:25:50 2018	1516393550	68	94	162	92
Fri Jan 19 20:26:19 2018	1516393579	52	110	163	110
Fri Jan 19 20:25:51 2018	1516393551	56	107	163	107
Fri Jan 19 20:25:33 2018	1516393533	53	111	164	110
Fri Jan 19 20:25:22 2018	1516393522	54	110	164	110
Fri Jan 19 20:25:46 2018	1516393546	88	77	165	77
Fri Jan 19 20:26:15 2018	1516393575	82	84	166	83
Fri Jan 19 20:26:05 2018	1516393565	99	67	166	66
Fri Jan 19 20:25:39 2018	1516393539	51	115	166	115
Fri Jan 19 20:25:44 2018	1516393544	93	74	167	74
Fri Jan 19 20:25:54 2018	1516393554	99	69	167	68
Fri Jan 19 20:26:16 2018	1516393576	52	115	167	115
Fri Jan 19 20:25:39 2018	1516393539	58	111	169	108
Fri Jan 19 20:25:40 2018	1516393540	63	108	170	107
Fri Jan 19 20:25:57 2018	1516393557	57	114	171	112
Fri Jan 19 20:25:54 2018	1516393554	75	97	173	97
Fri Jan 19 20:26:14 2018	1516393574	102	73	175	73
Fri Jan 19 20:25:21 2018	1516393521	68	107	175	107
Fri Jan 19 20:26:05 2018	1516393565	92	83	176	83
Fri Jan 19 20:26:17 2018	1516393577	59	119	178	119
Fri Jan 19 20:25:30 2018	1516393530	56	122	178	122
Fri Jan 19 20:25:54 2018	1516393554	90	89	180	89
Fri Jan 19 20:25:49 2018	1516393549	50	130	180	130
Fri Jan 19 20:25:30 2018	1516393530	56	125	181	122
Fri Jan 19 20:26:05 2018	1516393565	104	77	181	77
Fri Jan 19 20:26:05 2018	1516393565	93	90	183	89
Fri Jan 19 20:25:38 2018	1516393538	56	127	184	127
Fri Jan 19 20:25:42 2018	1516393542	55	129	184	128
Fri Jan 19 20:25:32 2018	1516393532	54	130	184	129
Fri Jan 19 20:25:58 2018	1516393558	60	125	185	124
Fri Jan 19 20:25:43 2018	1516393543	54	131	185	131
Fri Jan 19 20:25:55 2018	1516393555	106	80	185	79
Fri Jan 19 20:26:07 2018	1516393567	56	130	186	130
Fri Jan 19 20:26:11 2018	1516393571	53	133	186	132
Fri Jan 19 20:25:23 2018	1516393523	55	131	186	130
Fri Jan 19 20:26:14 2018	1516393574	85	102	186	97
Fri Jan 19 20:26:06 2018	1516393566	61	126	187	126
Fri Jan 19 20:25:44 2018	1516393544	95	95	190	83
Fri Jan 19 20:25:42 2018	1516393542	51	140	191	138
Fri Jan 19 20:26:14 2018	1516393574	102	89	191	89
Fri Jan 19 20:26:09 2018	1516393569	57	138	194	137
Fri Jan 19 20:25:39 2018	1516393539	59	136	196	136
Fri Jan 19 20:25:54 2018	1516393554	115	81	196	80
Fri Jan 19 20:25:55 2018	1516393555	91	106	197	92
Fri Jan 19 20:25:25 2018	1516393525	58	139	197	138
Fri Jan 19 20:25:54 2018	1516393554	114	83	198	83
Fri Jan 19 20:25:25 2018	1516393525	63	136	199	134
Fri Jan 19 20:25:46 2018	1516393546	97	102	199	97
Fri Jan 19 20:25:48 2018	1516393548	57	143	200	143
Fri Jan 19 20:25:40 2018	1516393540	52	149	201	149
Fri Jan 19 20:25:44 2018	1516393544	82	120	202	120
Fri Jan 19 20:26:06 2018	1516393566	93	112	205	111
