starttime	seconds	ctime	dtime	ttime	wait
Sat Jan 20 08:15:29 2018	1516436129	338	377	715	366
Sat Jan 20 08:15:11 2018	1516436111	378	337	715	322
Sat Jan 20 08:15:33 2018	1516436133	446	269	715	239
Sat Jan 20 08:15:59 2018	1516436159	442	273	715	130
Sat Jan 20 08:16:02 2018	1516436162	323	392	715	230
Sat Jan 20 08:15:36 2018	1516436136	334	381	716	362
Sat Jan 20 08:15:29 2018	1516436129	521	194	716	179
Sat Jan 20 08:15:29 2018	1516436129	521	194	716	179
Sat Jan 20 08:15:59 2018	1516436159	441	274	716	112
Sat Jan 20 08:15:36 2018	1516436136	334	381	716	264
Sat Jan 20 08:15:36 2018	1516436136	335	381	716	263
Sat Jan 20 08:15:33 2018	1516436133	476	240	716	210
Sat Jan 20 08:15:36 2018	1516436136	334	382	716	355
Sat Jan 20 08:15:36 2018	1516436136	335	381	716	280
Sat Jan 20 08:15:11 2018	1516436111	379	337	716	322
Sat Jan 20 08:15:36 2018	1516436136	334	382	716	368
Sat Jan 20 08:15:11 2018	1516436111	378	338	716	322
Sat Jan 20 08:16:02 2018	1516436162	352	364	716	188
Sat Jan 20 08:16:02 2018	1516436162	352	364	716	205
Sat Jan 20 08:15:29 2018	1516436129	522	194	716	179
Sat Jan 20 08:15:38 2018	1516436138	245	472	716	467
Sat Jan 20 08:15:29 2018	1516436129	522	194	716	178
Sat Jan 20 08:16:10 2018	1516436170	506	211	717	90
Sat Jan 20 08:15:36 2018	1516436136	334	382	717	263
Sat Jan 20 08:16:12 2018	1516436172	423	294	717	255
Sat Jan 20 08:15:59 2018	1516436159	432	285	717	131
Sat Jan 20 08:16:02 2018	1516436162	352	365	717	206
Sat Jan 20 08:15:59 2018	1516436159	432	285	718	131
Sat Jan 20 08:15:36 2018	1516436136	388	330	718	316
Sat Jan 20 08:15:59 2018	1516436159	432	286	718	133
Sat Jan 20 08:16:02 2018	1516436162	353	365	718	150
Sat Jan 20 08:15:38 2018	1516436138	251	467	718	447
Sat Jan 20 08:16:29 2018	1516436189	403	316	719	112
Sat Jan 20 08:16:02 2018	1516436162	357	362	719	150
Sat Jan 20 08:16:02 2018	1516436162	356	362	719	149
Sat Jan 20 08:16:02 2018	1516436162	326	393	719	361
Sat Jan 20 08:14:52 2018	1516436092	378	342	720	337
Sat Jan 20 08:14:52 2018	1516436092	323	397	721	373
Sat Jan 20 08:15:59 2018	1516436159	431	290	721	210
Sat Jan 20 08:16:00 2018	1516436160	404	317	721	136
Sat Jan 20 08:15:59 2018	1516436159	460	261	721	241
Sat Jan 20 08:16:02 2018	1516436162	352	369	721	362
Sat Jan 20 08:15:31 2018	1516436131	375	346	721	239
Sat Jan 20 08:16:24 2018	1516436184	174	548	722	476
Sat Jan 20 08:14:50 2018	1516436090	369	353	723	336
Sat Jan 20 08:15:29 2018	1516436129	410	313	723	119
Sat Jan 20 08:15:21 2018	1516436121	329	394	723	143
Sat Jan 20 08:16:24 2018	1516436184	283	439	723	392
Sat Jan 20 08:16:29 2018	1516436189	434	289	723	138
Sat Jan 20 08:15:34 2018	1516436134	207	516	723	180
Sat Jan 20 08:16:29 2018	1516436189	428	296	724	281
Sat Jan 20 08:16:02 2018	1516436162	240	483	724	141
Sat Jan 20 08:15:57 2018	1516436157	337	387	724	85
Sat Jan 20 08:16:09 2018	1516436169	292	433	724	146
Sat Jan 20 08:16:31 2018	1516436191	426	299	724	199
Sat Jan 20 08:15:44 2018	1516436144	452	273	724	96
Sat Jan 20 08:16:09 2018	1516436169	292	433	725	146
Sat Jan 20 08:15:57 2018	1516436157	337	388	725	84
Sat Jan 20 08:15:39 2018	1516436139	270	455	725	335
Sat Jan 20 08:15:48 2018	1516436148	441	284	725	200
Sat Jan 20 08:16:02 2018	1516436162	337	389	725	184
Sat Jan 20 08:15:31 2018	1516436131	465	261	726	120
Sat Jan 20 08:16:09 2018	1516436169	292	434	726	147
Sat Jan 20 08:16:09 2018	1516436169	292	434	726	148
Sat Jan 20 08:16:09 2018	1516436169	293	433	726	147
Sat Jan 20 08:16:09 2018	1516436169	292	434	726	165
Sat Jan 20 08:16:02 2018	1516436162	337	389	726	185
Sat Jan 20 08:16:09 2018	1516436169	307	420	726	134
Sat Jan 20 08:16:29 2018	1516436189	433	294	726	285
Sat Jan 20 08:15:47 2018	1516436147	474	252	727	119
Sat Jan 20 08:15:47 2018	1516436147	475	252	727	119
Sat Jan 20 08:16:09 2018	1516436169	292	435	727	166
Sat Jan 20 08:15:45 2018	1516436145	338	389	727	369
Sat Jan 20 08:16:19 2018	1516436179	452	275	727	103
Sat Jan 20 08:16:12 2018	1516436172	315	414	728	353
Sat Jan 20 08:15:59 2018	1516436159	443	285	728	130
Sat Jan 20 08:15:59 2018	1516436159	441	287	728	133
Sat Jan 20 08:16:12 2018	1516436172	314	414	728	354
Sat Jan 20 08:15:21 2018	1516436121	304	425	729	139
Sat Jan 20 08:15:59 2018	1516436159	442	287	729	132
Sat Jan 20 08:15:59 2018	1516436159	442	287	729	134
Sat Jan 20 08:15:21 2018	1516436121	305	425	729	140
Sat Jan 20 08:16:12 2018	1516436172	315	414	729	355
Sat Jan 20 08:15:59 2018	1516436159	443	287	729	132
Sat Jan 20 08:15:21 2018	1516436121	305	425	730	140
Sat Jan 20 08:15:21 2018	1516436121	305	425	730	140
Sat Jan 20 08:15:21 2018	1516436121	305	425	730	140
Sat Jan 20 08:16:11 2018	1516436171	515	215	730	191
Sat Jan 20 08:15:59 2018	1516436159	443	287	730	109
Sat Jan 20 08:16:11 2018	1516436171	514	216	730	190
Sat Jan 20 08:15:21 2018	1516436121	306	425	730	140
Sat Jan 20 08:15:59 2018	1516436159	442	289	730	135
Sat Jan 20 08:15:59 2018	1516436159	442	289	730	134
Sat Jan 20 08:16:11 2018	1516436171	514	216	730	192
Sat Jan 20 08:15:21 2018	1516436121	306	425	730	139
Sat Jan 20 08:15:17 2018	1516436117	214	517	730	328
Sat Jan 20 08:16:11 2018	1516436171	515	216	731	192
Sat Jan 20 08:15:59 2018	1516436159	443	288	731	154
Sat Jan 20 08:15:03 2018	1516436103	381	349	731	86
Sat Jan 20 08:15:59 2018	1516436159	441	289	731	136
Sat Jan 20 08:16:11 2018	1516436171	514	217	731	193
Sat Jan 20 08:15:59 2018	1516436159	442	289	731	136
Sat Jan 20 08:15:59 2018	1516436159	443	289	731	145
Sat Jan 20 08:15:21 2018	1516436121	296	435	731	316
Sat Jan 20 08:16:03 2018	1516436163	330	401	731	134
Sat Jan 20 08:15:59 2018	1516436159	441	290	731	165
Sat Jan 20 08:16:32 2018	1516436192	270	462	732	364
Sat Jan 20 08:16:03 2018	1516436163	330	402	732	142
Sat Jan 20 08:15:36 2018	1516436136	464	268	732	99
Sat Jan 20 08:16:11 2018	1516436171	514	218	732	194
Sat Jan 20 08:16:03 2018	1516436163	329	403	732	168
Sat Jan 20 08:15:48 2018	1516436148	447	285	732	105
Sat Jan 20 08:16:05 2018	1516436165	391	341	732	131
Sat Jan 20 08:15:59 2018	1516436159	441	291	732	166
Sat Jan 20 08:16:03 2018	1516436163	368	364	732	139
Sat Jan 20 08:15:31 2018	1516436131	376	357	733	334
Sat Jan 20 08:15:36 2018	1516436136	465	268	733	99
Sat Jan 20 08:16:03 2018	1516436163	300	432	733	216
Sat Jan 20 08:16:11 2018	1516436171	515	218	733	194
Sat Jan 20 08:16:05 2018	1516436165	392	341	733	131
Sat Jan 20 08:16:05 2018	1516436165	392	341	733	131
Sat Jan 20 08:16:03 2018	1516436163	329	404	733	170
Sat Jan 20 08:15:48 2018	1516436148	448	285	733	167
Sat Jan 20 08:15:13 2018	1516436113	319	414	733	178
Sat Jan 20 08:16:03 2018	1516436163	335	399	734	163
Sat Jan 20 08:15:33 2018	1516436133	465	268	734	197
Sat Jan 20 08:15:36 2018	1516436136	391	343	734	176
Sat Jan 20 08:15:36 2018	1516436136	392	342	734	176
Sat Jan 20 08:15:36 2018	1516436136	392	342	734	175
Sat Jan 20 08:15:34 2018	1516436134	348	386	734	113
Sat Jan 20 08:16:11 2018	1516436171	529	205	734	182
Sat Jan 20 08:15:36 2018	1516436136	392	342	734	174
Sat Jan 20 08:15:59 2018	1516436159	443	292	735	212
Sat Jan 20 08:15:21 2018	1516436121	449	286	735	131
Sat Jan 20 08:15:36 2018	1516436136	392	342	735	176
Sat Jan 20 08:15:36 2018	1516436136	393	342	735	175
Sat Jan 20 08:15:36 2018	1516436136	393	342	735	174
Sat Jan 20 08:15:36 2018	1516436136	392	343	735	176
Sat Jan 20 08:15:36 2018	1516436136	392	343	735	177
Sat Jan 20 08:15:59 2018	1516436159	446	289	735	210
Sat Jan 20 08:16:11 2018	1516436171	538	197	735	174
Sat Jan 20 08:16:00 2018	1516436160	404	332	735	137
Sat Jan 20 08:15:34 2018	1516436134	349	386	735	113
Sat Jan 20 08:15:21 2018	1516436121	450	285	735	130
Sat Jan 20 08:16:09 2018	1516436169	312	424	736	137
Sat Jan 20 08:15:36 2018	1516436136	393	343	736	320
Sat Jan 20 08:15:38 2018	1516436138	414	322	736	195
Sat Jan 20 08:16:05 2018	1516436165	527	209	736	188
Sat Jan 20 08:15:36 2018	1516436136	392	344	736	177
Sat Jan 20 08:16:09 2018	1516436169	303	433	736	147
Sat Jan 20 08:15:36 2018	1516436136	392	344	736	320
Sat Jan 20 08:15:13 2018	1516436113	380	356	736	326
Sat Jan 20 08:16:09 2018	1516436169	312	425	736	138
Sat Jan 20 08:15:38 2018	1516436138	415	322	737	204
Sat Jan 20 08:15:34 2018	1516436134	308	428	737	274
Sat Jan 20 08:15:34 2018	1516436134	308	429	737	275
Sat Jan 20 08:15:38 2018	1516436138	414	323	737	238
Sat Jan 20 08:15:59 2018	1516436159	443	295	737	278
Sat Jan 20 08:15:21 2018	1516436121	305	432	737	406
Sat Jan 20 08:15:34 2018	1516436134	307	430	737	277
Sat Jan 20 08:15:48 2018	1516436148	418	319	737	227
Sat Jan 20 08:16:09 2018	1516436169	311	426	737	174
Sat Jan 20 08:15:32 2018	1516436132	301	437	737	435
Sat Jan 20 08:15:34 2018	1516436134	309	429	738	232
Sat Jan 20 08:15:34 2018	1516436134	309	428	738	273
Sat Jan 20 08:15:36 2018	1516436136	391	347	738	339
Sat Jan 20 08:15:34 2018	1516436134	308	429	738	275
