starttime	seconds	ctime	dtime	ttime	wait
Sat Jan 20 06:59:15 2018	1516431555	58	557	615	556
Sat Jan 20 06:59:34 2018	1516431574	64	551	615	549
Sat Jan 20 06:59:27 2018	1516431567	58	557	615	555
Sat Jan 20 06:59:18 2018	1516431558	62	554	615	551
Sat Jan 20 07:00:02 2018	1516431602	68	550	617	545
Sat Jan 20 06:59:55 2018	1516431595	63	566	629	564
Sat Jan 20 06:59:25 2018	1516431565	58	571	629	569
Sat Jan 20 06:59:53 2018	1516431593	324	331	655	329
Sat Jan 20 06:59:36 2018	1516431576	58	619	677	618
Sat Jan 20 06:59:31 2018	1516431571	57	632	689	630
Sat Jan 20 07:00:10 2018	1516431610	66	632	698	630
Sat Jan 20 06:59:53 2018	1516431593	194	557	751	555
Sat Jan 20 06:59:50 2018	1516431590	505	255	760	249
Sat Jan 20 06:59:26 2018	1516431566	60	713	773	711
Sat Jan 20 06:59:18 2018	1516431558	51	734	785	733
Sat Jan 20 06:59:24 2018	1516431564	61	860	921	859
Sat Jan 20 06:59:12 2018	1516431552	193	2254	2447	2253
