starttime	seconds	ctime	dtime	ttime	wait
Sat Jan 20 08:30:08 2018	1516437008	310	659	969	414
Sat Jan 20 08:30:12 2018	1516437012	483	486	969	354
Sat Jan 20 08:29:30 2018	1516436970	646	323	969	285
Sat Jan 20 08:28:52 2018	1516436932	555	415	969	395
Sat Jan 20 08:30:12 2018	1516437012	484	486	969	353
Sat Jan 20 08:30:12 2018	1516437012	483	486	970	352
Sat Jan 20 08:28:58 2018	1516436938	214	756	970	569
Sat Jan 20 08:30:12 2018	1516437012	483	487	970	354
Sat Jan 20 08:29:01 2018	1516436941	776	194	970	189
Sat Jan 20 08:29:56 2018	1516436996	324	646	970	399
Sat Jan 20 08:29:15 2018	1516436955	673	297	970	249
Sat Jan 20 08:29:56 2018	1516436996	322	648	970	512
Sat Jan 20 08:29:31 2018	1516436971	595	375	970	299
Sat Jan 20 08:29:56 2018	1516436996	343	628	970	493
Sat Jan 20 08:29:56 2018	1516436996	342	628	970	492
Sat Jan 20 08:30:25 2018	1516437025	334	637	971	365
Sat Jan 20 08:28:52 2018	1516436932	555	415	971	403
Sat Jan 20 08:28:52 2018	1516436932	554	417	971	397
Sat Jan 20 08:29:31 2018	1516436971	577	394	971	326
Sat Jan 20 08:29:31 2018	1516436971	774	197	971	166
Sat Jan 20 08:30:04 2018	1516437004	338	633	971	257
Sat Jan 20 08:30:08 2018	1516437008	553	418	971	194
Sat Jan 20 08:29:27 2018	1516436967	241	730	971	572
Sat Jan 20 08:29:48 2018	1516436988	777	194	971	192
Sat Jan 20 08:28:52 2018	1516436932	554	417	971	275
Sat Jan 20 08:28:41 2018	1516436921	639	332	971	324
Sat Jan 20 08:29:56 2018	1516436996	323	648	971	512
Sat Jan 20 08:28:52 2018	1516436932	555	417	971	405
Sat Jan 20 08:29:16 2018	1516436956	273	698	971	340
Sat Jan 20 08:29:15 2018	1516436955	618	353	971	300
Sat Jan 20 08:30:12 2018	1516437012	484	487	971	354
Sat Jan 20 08:28:41 2018	1516436921	640	332	971	324
Sat Jan 20 08:29:55 2018	1516436995	700	272	971	230
Sat Jan 20 08:29:31 2018	1516436971	774	197	971	166
Sat Jan 20 08:28:52 2018	1516436932	554	417	971	397
Sat Jan 20 08:28:36 2018	1516436916	161	811	972	808
Sat Jan 20 08:28:55 2018	1516436935	266	706	972	527
Sat Jan 20 08:28:50 2018	1516436930	274	698	972	417
Sat Jan 20 08:30:12 2018	1516437012	485	486	972	354
Sat Jan 20 08:30:12 2018	1516437012	485	486	972	354
Sat Jan 20 08:30:31 2018	1516437031	759	212	972	205
Sat Jan 20 08:29:15 2018	1516436955	617	355	972	348
Sat Jan 20 08:28:52 2018	1516436932	555	416	972	403
Sat Jan 20 08:29:50 2018	1516436990	612	360	972	341
Sat Jan 20 08:28:48 2018	1516436928	631	341	972	306
Sat Jan 20 08:30:12 2018	1516437012	483	489	972	448
Sat Jan 20 08:28:52 2018	1516436932	556	417	972	403
Sat Jan 20 08:28:52 2018	1516436932	554	419	972	406
Sat Jan 20 08:29:56 2018	1516436996	323	649	972	513
Sat Jan 20 08:29:14 2018	1516436954	535	438	973	402
Sat Jan 20 08:30:12 2018	1516437012	484	489	973	447
Sat Jan 20 08:29:34 2018	1516436974	746	226	973	196
Sat Jan 20 08:30:12 2018	1516437012	324	649	973	470
Sat Jan 20 08:30:12 2018	1516437012	325	648	973	459
Sat Jan 20 08:29:15 2018	1516436955	618	355	973	305
Sat Jan 20 08:30:08 2018	1516437008	553	420	973	224
Sat Jan 20 08:28:40 2018	1516436920	258	715	973	322
Sat Jan 20 08:29:14 2018	1516436954	436	537	973	504
Sat Jan 20 08:28:40 2018	1516436920	567	406	973	356
Sat Jan 20 08:28:52 2018	1516436932	553	420	973	407
Sat Jan 20 08:29:50 2018	1516436990	255	718	974	402
Sat Jan 20 08:29:19 2018	1516436959	727	247	974	207
Sat Jan 20 08:28:40 2018	1516436920	567	406	974	356
Sat Jan 20 08:29:50 2018	1516436990	613	361	974	340
Sat Jan 20 08:29:56 2018	1516436996	328	646	974	399
Sat Jan 20 08:28:40 2018	1516436920	568	406	974	356
Sat Jan 20 08:28:40 2018	1516436920	568	406	974	356
Sat Jan 20 08:30:12 2018	1516437012	766	208	974	179
Sat Jan 20 08:28:40 2018	1516436920	257	717	974	668
Sat Jan 20 08:30:08 2018	1516437008	328	646	974	592
Sat Jan 20 08:30:08 2018	1516437008	553	422	974	302
Sat Jan 20 08:29:56 2018	1516436996	346	628	974	493
Sat Jan 20 08:30:12 2018	1516437012	477	497	975	318
